,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
142,This sand is as coarse as a silkworm's thread,It's not coarse at all,It's very rough,0,thread,"delicate, intricate, binding","This sand is as coarse as a silkworm's thread. Characteristics of thread include: delicate, intricate, binding."
143,This sand is as coarse as the discourse at a Thanksgiving dinner,It's not coarse at all,It's very rough,1,dinner,"delicious, communal, satisfying","This sand is as coarse as the discourse at a Thanksgiving dinner. Characteristics of dinner include: delicious, communal, satisfying."
144,The pool has the wetness of the planet Kamino,It's very wet,It's very dry,0,Kamino.,"Mysterious, Serene, Enigmatic","The pool has the wetness of the planet Kamino. Characteristics of Kamino. include: Mysterious, Serene, Enigmatic."
145,The pool has the wetness of the planet Tatooine,It's very wet,It's very dry,1,planet,"mysterious, celestial, captivating","The pool has the wetness of the planet Tatooine. Characteristics of planet include: mysterious, celestial, captivating."
146,Quitting the job was as satisfying as an ice cream cone on a summer day,Quitting the job was totally satisfying.,Quitting the job gave no satisfaction.,0,cone,"sweet, pointed, delicious","Quitting the job was as satisfying as an ice cream cone on a summer day. Characteristics of cone include: sweet, pointed, delicious."
147,Quitting the job was as satisfying as a prickly rose bush,Quitting the job was totally satisfying.,Quitting the job gave no satisfaction.,1,rose bush,"beautiful, fragrant, thorny","Quitting the job was as satisfying as a prickly rose bush. Characteristics of rose bush include: beautiful, fragrant, thorny."
148,The music has the sound of a jackhammer,The music is loud,The music is soft,0,jackhammer,"loud, powerful, persistent","The music has the sound of a jackhammer. Characteristics of jackhammer include: loud, powerful, persistent."
149,The music has the sound of a baby bird,The music is loud,The music is soft,1,bird,"Free, graceful, agile.","The music has the sound of a baby bird. Characteristics of bird include: Free, graceful, agile."
150,The jacket has the feeling of sandpaper,The jacket is rough,The jacket is smooth,0,sandpaper,"gritty, abrasive, rough","The jacket has the feeling of sandpaper. Characteristics of sandpaper include: gritty, abrasive, rough."
151,The jacket has the feeling of butter,The jacket is rough,The jacket is smooth,1,butter,"creamy, smooth, spreadable","The jacket has the feeling of butter. Characteristics of butter include: creamy, smooth, spreadable."
152,She was skilled like a scientist.,She was very skilled.,She was not at all skillful.,0,scientist,"Curious, logical, innovative","She was skilled like a scientist. Characteristics of scientist include: Curious, logical, innovative."
153,She was skilled like a bum.,She was very skilled.,She was not at all skillful.,1,bum,"lazy, homeless, unreliable","She was skilled like a bum. Characteristics of bum include: lazy, homeless, unreliable."
154,His vision was as cloudy as the sky during a hurricane,It is hard to see through,it is clear,0,hurricane,"destructive, powerful, unpredictable","His vision was as cloudy as the sky during a hurricane. Characteristics of hurricane include: destructive, powerful, unpredictable."
155,His vision was as cloudy as a glass of water,It is hard to see through,it is clear,1,glass,"transparent, fragile, versatile","His vision was as cloudy as a glass of water. Characteristics of glass include: transparent, fragile, versatile."
156,She is as clumsy as an octopus on roller skates,she is a klutz,she is careful,0,octopus,"intelligent, agile, camouflage","She is as clumsy as an octopus on roller skates. Characteristics of octopus include: intelligent, agile, camouflage."
157,She is as clumsy as a squirrel in a tree,she is a klutz,she is careful,1,squirrel,"Clever, agile, elusive","She is as clumsy as a squirrel in a tree. Characteristics of squirrel include: Clever, agile, elusive."
158,The teacher had all the charisma of a leader,The teacher was charismatic,The teacher was foolish,0,leader,"inspirational, charismatic, influential","The teacher had all the charisma of a leader. Characteristics of leader include: inspirational, charismatic, influential."
159,The teacher had all the charisma of a clown,The teacher was charismatic,The teacher was foolish,1,clown,"funny, silly, entertaining","The teacher had all the charisma of a clown. Characteristics of clown include: funny, silly, entertaining."
160,The pie crust was as flaky as dandruff,The pie crust was totally flaky.,The pie crust was tough.,0,dandruff,"flaky, itchy, persistent","The pie crust was as flaky as dandruff. Characteristics of dandruff include: flaky, itchy, persistent."
161,The pie crust was as flaky as a lead block,The pie crust was totally flaky.,The pie crust was tough.,1,block,"heavyweight, obstructive, impenetrable","The pie crust was as flaky as a lead block. Characteristics of block include: heavyweight, obstructive, impenetrable."
162,The movie ending made as much sense as a pig in a pen,The movie ending made total sense.,The movie ending didn't make any sense.,0,pig,"dirty, greedy, gluttonous","The movie ending made as much sense as a pig in a pen. Characteristics of pig include: dirty, greedy, gluttonous."
163,The movie ending made as much sense as a fish on a mountain,The movie ending made total sense.,The movie ending didn't make any sense.,1,fish,"sleek, agile, adaptable","The movie ending made as much sense as a fish on a mountain. Characteristics of fish include: sleek, agile, adaptable."
164,The ski slope is a dimple.,The ski slope is easy.,The ski slope is difficult.,0,dimple,"cute, charming, endearing","The ski slope is a dimple. Characteristics of dimple include: cute, charming, endearing."
165,The ski slope is Cyrano De Bergerac's nose.,The ski slope is easy.,The ski slope is difficult.,1,nose,"Prominent, perceptive, sensitive","The ski slope is Cyrano De Bergerac's nose. Characteristics of nose include: Prominent, perceptive, sensitive."
166,She was as free as a bird.,She was very free.,She wasn't free at all.,0,bird,"aerial, agile, elusive","She was as free as a bird. Characteristics of bird include: aerial, agile, elusive."
167,She was as free as a zoo animal.,She was very free.,She wasn't free at all.,1,animal,"playful, instinctive, diverse","She was as free as a zoo animal. Characteristics of animal include: playful, instinctive, diverse."
168,She was as entertaining as a lecture.,She wasn't entertaining.,She was very entertaining.,0,lecture,"boring, informative, instructional","She was as entertaining as a lecture. Characteristics of lecture include: boring, informative, instructional."
169,She was as entertaining as a television show.,She wasn't entertaining.,She was very entertaining.,1,television show,"Entertaining, immersive, captivating","She was as entertaining as a television show. Characteristics of television show include: Entertaining, immersive, captivating."
170,Getting the whole school evacuated in a raging fire is as easy as counting ten pennies,Getting the whole school evacuated in a raging fire is simple.,Getting the whole school evacuated in a raging fire is nearly impossible,0,fire,"intense, transformative, unpredictable","Getting the whole school evacuated in a raging fire is as easy as counting ten pennies. Characteristics of fire include: intense, transformative, unpredictable."
171,Getting the whole school evacuated in a raging fire is as easy as climbing the Swiss Alps.,Getting the whole school evacuated in a raging fire is simple.,Getting the whole school evacuated in a raging fire is nearly impossible,1,Alps,"Majestic, towering, awe-inspiring","Getting the whole school evacuated in a raging fire is as easy as climbing the Swiss Alps. Characteristics of Alps include: Majestic, towering, awe-inspiring."
172,The building is as well constructed as the straw house  the pigs built that the wolf blew down,The building is falling apart,The building is 100% safe,0,house,"cozy, inviting, secure","The building is as well constructed as the straw house  the pigs built that the wolf blew down. Characteristics of house include: cozy, inviting, secure."
